男性が子供を抱き上げて立っています。	坊主頭の男性が子供を抱いて立っています。
少年がテニスラケットを持って大人とテニスをしています。	テニスをしている大人と子供がいます。
海でサーフィンをしているところです。	男性が海でサーフィンをしています。
スケートボードを持った男性がいます。	男性がスケートボードを持っています。
川の上の橋を列車が走行しています。	川の上の橋を、貨物列車が通っています。
冷蔵庫の横に棚が置かれています。	冷蔵庫の隣に食材の置かれた棚があります。
黄色いスクールバスが停まっています。	路上に黄色いスクールバスがあります。
木製の柵の中に、馬が１頭立っています。	牧場の柵のそばに馬が一頭立っています。
傘をさして歩いている女性が一人います。	女性が日傘をさして道を歩いています。
白い犬がフリスビーをくわえて走っています。	地面の上をフライングディスクをくわえた犬が走っています。
男性がビーチでフリスビーをしています。	男性が海岸でフリスビーをしています。
男の子がソファーの上でノートパソコンをいじっています。	ソファで男の子がパソコンをしています。
波に向かってサーフィンをしている人が2人います。	サーファーたちが海でサーフィンをしています。
波に向かってサーフィンをしている人が2人います。	二人のサーファーが波に乗っています。
テニス選手がボールを打ち返しています。	テニス選手がボールを打ち返しています。
ビーチ付近の道路で男性がスケボーをしています。	海岸横の道路で、男性がスケートボードをしています。
テニスプレーヤーがサーブを打とうとしています。	テニスコートでプレイヤーがサーブをしています。
プレートに三種のスイーツがのっています。	白い皿の上にケーキが三種類ならべられデコレーションされています。
２台の二階建てバスが停車しています。	赤と白の二台の二階建てバスが並んで停まっています。
日差しが射す雪の上をスキーヤーが滑っている。	太陽が出ている雪山をスキーヤーが滑っています。
鏡に映る姿を猫がじっと見ています。	猫が鏡に映る自分を見つめています。。
お店の中に大きなクマのぬいぐるみが置かれている。	店の床には大きなクマのぬいぐるみがあります。
ピッチャーがマウンドからボールを投げています。	ピッチャーマウンドの上で投手がボールを投げています。
白い皿に、サンドイッチが重ねて積んで置いてあります。	お皿にサンドイッチが盛られています。
白いテーブルの上にはノートパソコンが置いてあります。	机の上にノートパソコンがのっています。
男性が建物にある看板を指差しています。	赤い服を着た男性が壁に設置された青い看板を指さしています。
公園で男性がスケートボードをしています。	男性が公園でスケートボードをしています。
テレビゲームの一人プレイで遊んでいます。	一人の青年が、コンピュータゲーム機を使って、ゲームをしています。
ビニールハウスの中には、さまざまな植物があります。	温室で、さまざまな種類の植物が栽培されています。
皿の上にブドウやキウイやリンゴがあります。	皿にリンゴやキウイなどの果物が置いてあります。
低木の茂った草原にキリンが２頭います。	草原にキリンが二頭、並んで立っています。
一匹のネコが布の上に寝転んでいます。	一匹のネコが布の上に寝転んでいます。
雪の積もる上でスキーをしている人がいます。	雪の上を、スキーヤーが滑っています。
スキーヤーが雪の積もる上を滑っています。	雪の上を、スキーヤーが滑っています。
テーブルの上に料理と飲み物が並べられています。	テーブルに肉料理と飲み物が置いてあります。
年配の男女がテレビゲームをしています。	部屋の中では老夫婦がテレビゲームのコントローラを使ってボクシングのような構えをしています。
駅のホームに白い電車が入ってきています。	１台の白い電車がホームに入ってきています。
自転車にスケートボードが立てかけられています。	自転車の側面にスケボーが立てかけられています。
海の上でウィンドサーフィンをしている人がいます。	海の上で、ウインドサーフィンをしている人がいます。
海でサーフィンをする人がひとりいます。	一人のサーファ―が波乗りをしています。
１人の女性がテニスをしています。	女性が、テニスコートでテニスをしています。
紙皿にピザが一切れのせられています。	紙皿の上にワンピースのピザが乗っています。
黒いスーツを着た男性が波乗りをしています。	黒い服の男性がサーフィンをしています。
蒸気機関車が駅のホームに入って来ています。	蒸気機関車が駅のホームに止まっています。
スケートボードを持った男の人が立っています。	スケボーを持った男性が立っています。
土の上にはたくさんの動物が集まっています。	土の上にはたくさんの動物が集まっています。
たくさんの種類の調味料が置いてあります。	台所に、いろいろな種類の調味料があります。
駅に黄色いペインティングをした列車が停まっています。	青空のもと、駅のホームに黄色い列車がいます。
道路に三角コーンとストップの標識を持った警備員が立っています。	男性が道路の真ん中でＳＴＯＰと書かれた標識をもって立っています。
道路で「STOP」と書かれた標識を持っている人がいます。	道路で男性が停止標識を持って立っています。
駐機場に赤くカラーリングされた飛行機が停まっています。	赤い航空機が飛行場に停車しています。
野球の試合中で、バッターとキャッチャーと球審がそれぞれ構えています。	野球の試合中で、バッターとキャッチャーと球審がそれぞれ構えています。
野球の試合中で、バッターとキャッチャーと球審がそれぞれ構えています。	野球の試合中で、バッターとキャッチャーと球審がそれぞれ構えています。
女性がリュックサックと犬をのせて背負っています。	河原で女性がリュックと犬を背中に背負っています。
食べかけのドーナツと飲み物が置かれています。	食べかけのドーナツと、飲みかけのコーヒーが、テーブルの上に置いてあります。
テーブルの上にお皿に乗ったピザが二枚置いてあります。	大きな二枚のピザが、テーブルに並べられています。
トイレのタンクの上に、黒い猫がいます。	トイレの水洗タンクの上に、黒猫が横たわっています。
キリンが餌に向かって舌を伸ばしています。	キリンが餌に向かって長い舌を伸ばしています。
青空の中、飛行機が煙を残しながら飛行しています。	飛行機が白い4本の煙を出しながら青空を飛んでいます。
好天の砂浜を犬を連れてランニングしている女性がいます。	海岸に犬を連れて走っている女性がいます。
青いシャツの女性が、テニスラケットをボールに向かって振っています。	女性がテニスボールを打とうとしています。
岩の上にタグが付いたクマのぬいぐるみが置かれている。	岩の上に、クマのぬいぐるみが置かれています。
ソファーに置かれた開いてあるノートPCのキーボード部に、ネコが1匹横になって寝ています。	ノートパソコンのキーボード上で猫が寝ています。
果物のオレンジが積み上げられています。	オレンジがたくさん積み上げられています。
テニス選手がラケットを持って振りかぶっています。	テニス選手がボールを打とうとしているところです。
水辺でシマウマが並んで水を飲んでいます。	シマウマたちが水辺で水を飲んでいます。
女性たちがダブルスでテニスの試合をしています。	テニスのダブルスの試合でテニスコートに女性が2人います。
こんがりと焼けたピザが、白い皿に載せられています。	焼きあがったピザがお皿の上に載っています。
教室の中でパソコンの使い方を教えています。	学校で、女性の先生がパソコンの使い方を教えています。
テーブルの上にたくさんのケーキがあります。	机の上に、たくさんのケーキが並べられています。
テーブルの上にたくさんのケーキがあります。	テーブルにたくさんのケーキが並んでいます。
机の上に、たくさんのケーキが並べられています。	テーブルの上にたくさんケーキが置かれています。
陶器の器の中に、いろいろな果物が入っています。	果物がどんぶりの中に入っています。
水色のトラックが土を積んだ状態で停まっています。	一台の土を積んだ水色のトラックがあります。
コートでダブルスのテニスが行われています。	テニスコートでテニスのダブルスの試合が行われています。
ボウルの中に様々な野菜が入っています。	グリーンの食器の中に野菜がぎっしり入っています。
白いウェアのテニス選手がサーブを打つところです。	白いユニフォームの男性テニスプレーヤーが、サーブを打とうとしています。
草の上にピンクのカードとぬいぐるみがあります。	草むらの中にピンクのカードとぬいぐるみが置かれています。
赤ちゃんと同じぐらいの大きさの熊のぬいぐるみが置かれています。	赤ちゃんと赤ちゃんと同じくらいの大きさの熊のぬいぐるみがあります。
レールの上をディーゼル機関車に牽かれた列車が走っています。	ディーゼル機関車に牽かれた列車が走っています。
机上に花の植木鉢がたくさん置かれています。	テーブルの上に花が咲いた植木鉢があります。
草むらに1頭の熊が立って、振り向いています。	草原の中に茶色い熊が一頭振り返っています。
キッチンのオーブンで料理している男性です。	キッチンの大きなオーブンを男性が使っています。
大きな凧を上げている人がいます。	空に凧を揚げている人がいます。
リビングで子供たちが遊んでいます。	リビングルームでテーブルを囲んで子供たちが遊んでいます。
駅のホームに電車が停車しています。	駅のプラットフォームで、電車が停車しています。
山のふもとに数頭の馬が立っています。	山の手前の草原に馬が数頭佇んでいます。
大勢のスキー客がスキー場で滑っています。	大勢のスキーヤーがゲレンデで滑っています。
ゲレンデでたくさんの人々がスキーをしています。	大勢のスキーヤーがゲレンデで滑っています。
テーブルの上にパソコンが２台置かれています。	デスクの上に２台のパソコンが置いてあります。
時計の上や横に、複数の人形が置かれています。	目覚まし時計の上と横に、人形が置かれています。
カウボーイハットをかぶった女性が、馬に乗っています。	女性がカウボーイ姿で馬に乗っています。
ピンク系の柄の１人掛けソファーに紫色のクッションが置いてあり、横にフロアランプが点いています。	ピンク系の柄の１人掛けソファーに赤色のクッションが置いてあり、横にフロアランプが点いています。
女性が電子レンジの扉を開けました。	女性が電子レンジの扉を開けています。
女性がキッチンで電子レンジの扉を開けています。	女性が電子レンジの扉を開けています。
カーペットの上に一匹の犬が俯せています。	カーペットの上で伏せている一匹の犬がいます。
ノートパソコンのそばには雑誌や携帯電話があります。	ノートパソコン横の雑誌の上に、携帯電話が置いてあります。
4人のスノーボーダーが雪の斜面を滑っている。	雪上でスノーボードをしている人が４人います。
イヌがネクタイをつけてお座りをしています。	黒いネクタイをした犬が座っています。
険しい雪山の斜面に色んな装備を身に着けた赤いウエアのスキーヤーがいます。	険しい雪山の斜面に色んな装備を身に着けた赤いウエアのスキーヤーがいます。
険しい雪山の斜面に色んな装備を身に着けた赤いウエアのスキーヤーがいます。	険しい雪山の斜面に色んな装備を身に着けた赤いウエアのスキーヤーがいます。
大空にたこがたくさん飛んでいます。	さまざまな形の凧が空に上がっています。
雪山が見える草原の中に、１頭の馬がいます。	雪山が見える草原に、1頭の馬がいます。
部屋に数多くの時計がかざられています。	部屋に時計がたくさん置かれています。
部屋に数多くの時計がかざられています。	へやには時計がたくさんあります
携帯電話を持った女性が壁に寄りかかっています。	女性が壁にもたれながら携帯電話を操作しています。
あずき色の電車が駅に停車しています。	小豆色の列車が、ホームに止まっています。
スノーボードで大きくジャンプしている人がいます。	雪の斜面の上でスノーボードに乗った人がジャンプしています。
赤ん坊が歯ブラシを口に入れています。	赤ちゃんが、左手で持った歯ブラシを咥えています。
紫の傘をさした中年男性が歩いています。	紫色の傘をさした男性が歩いています。
鉄板の上で料理を焼いている人がいます。	鉄板の上でシェフが調理具を使って料理をしています。
にんじんとジャガイモを手に持っています。	人参とジャガイモを手に持っています。
レンジの中に焼き上がったパンが入っています。	オーブンレンジの中でパンが焼けています。
くちばしが長い鳥が、水を飲んでいます。	くちばしが長い鳥が、水を飲んでいます。
雪の中で男性が、スノーボードをしています。	男性が雪の中で、スノーボードをしています。
白い壁の洗面所に鏡が付いた洗面台があります。	白い洗面台の奥の壁に鏡が付けられています。
男性が柵の中のキリンとキスしています。	男性が、柵の中のキリンとキスをしています。
青い服を着た女性が皿に料理を盛り付けています。	青い服を着た女性が皿に料理を盛り付けています。
包丁とスイカを持った人がキッチンにいます。	女性がキッチンでスイカを切っています。
白い皿の上に料理が載っています。	白い皿の上にソースのかかった茶色い食べ物が載っています。
野球のバッターがボールを打とうとしています。	バットを下から振り上げているバッターがいます。
ビーチにて黄色いビキニ姿の女性がフリスビーを持っています。	ビーチに、ビキニを着た女性が、フリスビーを持っています。
スノーボードをはめたまま座っている人たち。	スノーボーダーたちが、雪の上に腰を下ろしています。
バッターボックスでバットを振っている人がいます。	バッターボックスでバットを振っている人がいます。
柵に一台の自転車が掛けられています。	鉄格子のドアに自転車が引っ掛けられています。
鉄の扉の上に、自転車が引っかけられています。	鉄格子のドアに自転車が引っ掛けられています。
白い皿の上にパンと目玉焼きが盛り付けられています。	白いお皿に盛られた、パンと目玉焼きです。
天井からバナナの房が吊られています。	バナナの房が、フックにつり下げられています。
緑色の服を着た人がスノーボードを滑っています。	緑色のスキーウェアを着た人がスノーボードをしています。
赤と青に塗られている電車が駅のホームに停まっています。	駅のプラットフォームに電車が停まっています。
絵柄のある白いお皿の上に、ケーキとフォークがのっています。	皿の上に、フォークとケーキが置いてあります。
パーキングメーターが二つ並んでいます。	パーキングメーターが二つ隣り合って設置されています。
ビルの前には2台のバスが停まっています。	ビルの前に同型のバスが2台止まっています。
スキーヤーが雪の上を滑走しています。	スキーヤーが雪の斜面を滑っている。
道には３人が乗った荷台を引く馬がいます。	牧場脇の道を馬車に乗って移動する三人がいます。
お皿の上にトーストとオムレツとポテトフライが乗っています。	皿の上に、トーストやオムレツやポテトが盛り付けられています。
スノーボードを履いて座る人の横で、黄色いウェアの人がスキーを履いて立っています。	スノーボーダーとスキーヤーがいます。
1台のボートが水面に水しぶきをあげて走っています。	大きな川を一隻のモーターボートが走っています
縦型の信号機が青を点灯しています。	道にある信号機が青を表示しています。
道路の脇に消火栓が設置してあります。	消火栓が道端に設置がされています。
女性がサーフボードで波に乗っています。	海で、サーフィンをしている女性がいます。
水辺の草地に訪れた、シマウマやヌーなどの群れ。	草原にシマウマなどの動物が群れを成しています。
テレビゲームを楽しんでいる眼鏡をかけた少年。	めがねをかけた子供がテレビゲームをしています。
男性が海でサーフィンをしています。	男性が海で、サーフィンをしています。
男性がスケボーに乗ってジャンプをしています。	スケボーに乗った男性がジャンプをしている。
スケボーに乗った男性がジャンプをしている。	スケートボーダーがジャンプを決めています。
男の人がヨットの脇に止めた黄色いボートに乗っています。	停泊しているボートの隣に、黄色のボートに乗った男性がいます。
店内で大きなピザにかじりつく黒い服の男性がいます。	店外で大きなピザにかじりつく黒い服の男性がいます。
タイル貼りの床に複数の機器と便器と青い椅子が置いてあります。	床に複数の機器と便器と青い椅子が置いてあります。
線路上を貨物列車が走行しています。	線路の上を貨物列車が走っています。
厨房で料理の盛り付けをしている料理人がいます。	コックさんが、料理をお皿に盛り付けています。
皿の上に料理が盛り付けられています。	白い皿の中に料理が盛られています。
何頭ものシマウマが草木のある敷地を走っている。	草木の茂る場所をシマウマたちが移動しています。
パソコンが置かれたデスクの椅子に犬が座っています。	犬がパソコンの前の椅子に乗って座っています。
三匹のキリンが水辺にたっています。	水辺に３頭のきりんがたっています。
野球のピッチャーがボールを投げています。	野球場で、紺色のキャップと白いユニフォームの野球の投手が、ボールを投げようとしています。
ピッチャーがマウンドで、ボールを投げるところです。	高校野球の試合で投手が投げている。
森の木の茂みの中で三頭のキリンが立っています。	木々に囲まれや雑草に3頭のキリンがいる。
本立ての上に木製の時計が置いてあります。	本棚の上に木製の置き時計があります。
スキーを履いた人がジャンプをしています。	雪山でスキーヤーがジャンプをしています。
スキー板を履いた人が、ジャンプしています。	スキーを履いてジャンプしている人がいます。
トイレに便器とビデが並んで置かれています。	トイレに便器とビデが設置されています。
水辺に象が2頭来て水浴びをしています。	2ひきのゾウさんが水辺で遊んでいます。
高い位置から雪の街並みが見えるトイレの空間です。	外の景色の見える室内に便器があります。
波打ち際でサーファーがサーフボードを持って歩いています。	海辺のビーチにて、サーフボードを持った男性が歩いています。
部屋には机と椅子、電気スタンドがあります。	部屋にデスクと椅子、電気スタンドが置かれています
熊のぬいぐるみを椅子に座らせています。	茶色いクマのぬいぐるみを椅子に座らせています。
女性が両手に持ったホットドッグを食べています。	女性がホットドッグを食べています。
壁のフックには歯ブラシがかけられています。	タイルの壁に歯ブラシがぶら下げられています。
女性の前には緑の野菜がたくさんのったピザがあります。	女性の前に焼きあがったピザがあります。
テニスコートでテニスをしている人がいます。	男性がテニスコートでテニスをしています。
テーブルの上に様々なデジタル機器が乗っています。	テーブルの上にパソコンと携帯が置かれています。
サンドウィッチとコーヒーがテーブルの上に置かれています。	サンドイッチと飲み物がテーブルに置かれています。
クマのぬいぐるみの背中のチャックから猫のぬいぐるみが顔を出しています。	熊のぬいぐるみの背中にあるチャックから、猫のぬいぐるみが飛び出しています。
二人の男性がナイフを持ってケーキを切っています。	二人の男性がケーキをカットしています。
テーブルの上にノートパソコンがあり、その前に猫がいます。	ノートパソコンの置かれたテーブルの前に猫が座っています。
軍服を着た女性が男性を見ています。	軍服を着た女性が男性を見つめています。
青空にいろんな種類の凧があがっています。	青空にたくさんの凧があがっています。
青空の中に、沢山の凧が舞っています。	青空にたくさんの凧があがっています。
男性が寝ているベッドの上で立っている女性がいます。	ベットの上で、横になっている男性と、立っている女性がいます。
ベンチの上に、子供たちが５人座っています。	五人の子供たちがベンチに座っています。
テーブルの上に電子レンジが置いてあります。	台の上に電子レンジが置かれています。
２頭の黒いヤギと１頭の白いヤギが草の上に座っています。	一頭の白いやぎと二頭の黒いやぎが座っています。
ショーウインドウの中に自転車があります。	ショーウィンドウに自転車が飾られています。
建物の前の道路に荷物を積み、人が乗ったトラックが停まっています。	路上に荷物を積んだトラックが停まっています。
草原の上を三羽の鳥が飛んでいます。	草原の上を三羽の白い鳥が飛んでいます。
グローブをはめた男性がボールを投げたところです	グローブをつけた男性がボールを投げている。
通りを赤い傘を差した人が歩いています。	赤い傘をさした人が道路を歩いています。
白のユニホームを着た男性がテニスをしている。	白のユニホームを着た男性がテニスをしています。
テーブルの上にはケーキとろうそくが置いてあります。	テーブルに大きなケーキとキャンドルがセッティングされています。
一人の男性が、鏡の前でネクタイを締めています。	男性が鏡の前でネクタイを締めています。
オレンジが山積みになっています。	オレンジが積み重ねて置いてあります。
器にバナナと青いリンゴが入っています。	青リンゴとバナナが器に入っています。
川岸近くにあるベンチに男女が座っています。	川沿いの芝生にあるベンチに男女が座っています。
古びた列車がプラットホームで停車しています。	古そうな鉄道が駅に止まっています。
一頭のシマウマが立って草を食べています。	一頭のシマウマが下草を食べています。
ショーケースの中には何種類かのピザが置かれていました。	ショーウィンドウの中に、数種類のピザが並んでいます。
錆びてぼろぼろになった車が放置してあります。	芝生の上に錆びた廃車が放置されています。
円筒状の物の所に鳥が止まっています。	円筒状の物の所に鳥が止まっています。
女性が空に向かって凧上げをしています。	曇り空に向けて、女性が凧を上げています。
女の子がいるベッドに猫が乗っています。	ベッドで少女が横になっている布団の上に、1匹のネコが座っています。
雪が降り積もる夜道をバスが走行しています。	雪の降る夜、家の前の雪道を走るバスです。
複数頭の山羊が草原で草を食べています。	草原の中で数頭の山羊が草を食べています。
野球選手がボールをキャッチしています。	野球選手がグローブでボールをキャッチしています。
サラミとチーズが複数乗ったピザ生地です。	ピザ生地のうえにサラミとチーズがのせられています。
黒い鍋の中に複数のソーセージが入っています。	鍋の中に、数本のソーセージが入っています。
コートにラケットを構えた女性がいます。	テニスコートにラケットを構えた女性がいます。
テニスコートにラケットを構えた女性がいます。	テニスコートでテニスをしている女性がいます。
カラフェの中にコルクがいっぱい入っています。	カラフェの中に、ワインのコルク栓がたくさん入っています。
道路脇の敷地に時計塔が建っています。	市街地の道路の脇に時計台が立っています。
男の子がボールの入ったグローブを持っています。	男の子がボールが入ったグローブを持っています。
木製の柵の前から子供を抱えた女性がキリンを眺めています。	赤ん坊と母親が、動物園のキリンを見ています。
夜景に色とりどりの街灯が灯っています。	夜の通りの上方に外灯がともっています。
電車の中に自転車が置いてあり横で新聞を読んでいる人がいます。	電車の中に自転車があって、新聞を読んでいる人がいます。
牙の生えた象のそばには人々が立っています。	牙の生えた象のそばには人々が立っています。
一匹のイヌが砂地をゆっくりと歩いています。	砂浜を一匹の犬がゆっくりと歩いています。
道路の途中に青いトラックがいます。	道路に青いピックアップトラックがいます。
道路に青いピックアップトラックがいます。	道路に青いピックアップトラックがいます。
海で一人の男がサーフィンをしています。	１人の男性が海でサーフィンしています。
二人の女性がホットドッグを食べようとしています。	女性が2人寄り添ってホットドッグを食べようとしています。
ワゴン車の荷台にたくさんのバナナが積まれています。	車の中に沢山のバナナが積み込まれています。
コートで男子テニス選手がラケットを持っています。	男性のテニス選手がコートでラケットを握っています。
道路に青い車と赤いバスが止まっています。	街角の道路に、青い車と赤いバスが止まっています。
蒸気機関車が、線路の上を走っています。	機関車が蒸気を飛ばし線路の上を走っています。
広い駐車場に黄色いバスが停車しています。	駐車場に黄色のバスが停車しています。
駅のホームには列車が停まっています。	列車が駅のホームに停車しています。
広場に沢山の小型バイクが並べられています。	芝生の上に小型バイクが並んでいます。
部屋にクリスマスツリーが置かれています。	部屋の中で、クリスマスツリーが点灯しています。
雪の斜面をスキー選手が滑っています。	雪の斜面をスキーで滑っている人がいます。
白い電車がホームから出て行きました。	駅のホーム付近を白い電車が走行しています。
海辺に一頭の茶色の馬が立っています。	波打ち際に、1頭の茶色い馬が立っています。
スケートボードでジャンプしているひとがいます。	スケートボートで高くジャンプしています。
トレーの上にニンジンやブロッコリーなど色々な野菜がのっています。	トレーにいろいろな野菜がのせてあります。
コンクリートの上に黒猫が横たわっています。	コンクリートの上に、黒猫が寝そべっています。
ビーチで凧揚げをする人たちです。	砂浜にいる数人が凧上げをしています。
コップの中に首を突っ込んでいる猫を、ほかの猫が見ています。	一匹の猫がコップに顔を入れているのをもう一匹の猫が見ている。
海でサーフィンをしている人がいます。	波の上でサーフィンをしている人がいます。
女性が持ったフリスビーに犬が飛びついています。	女性が持っているフリスビーに、犬がジャンプして噛み付いています。
テーブルを囲んで食事をしています。	テーブルを囲んで幾人かの人が食事をしています。
海の波の中でサーフィンをしている人がいます。	海でサーフィンをしているひとがいます。
小さな男の子がケーキをフォークで切り取っています。	小さな男の子が、ケーキにフォークを刺しています。
男の子が大きなケーキをフォークで切っています。	男の子が大きなケーキをフォークで取って食べています。
白いまな板の上に包丁と刻まれた人参が置かれています。	まな板の上に包丁と切断されたにんじんが有ります。
男性二人がバナナを見て微笑んでいます。	バナナを前に微笑む男性2人がいます。
三匹のシマウマが道路の上に立っています。	道路に三頭のシマウマが立ち止まっています。
パーキングメータの前に、男性が３人立っています。	バーキングメーターの周りに、三人の男性がいます。
フードを被った女性が黄色いビニール袋を持って立っている。	フードを被った女性が黄色いビニール袋を持っています。
テーブルにたくさんのパソコンが置かれています。	部屋のテーブルの上には、いろいろなノートパソコンが無造作に並べられています。
黒い犬に寄り掛かっているテディベア。	黒い犬に熊のぬいぐるみがもたれさせてあります。
人がスマートフォンの画面で入力をしています。	スマートフォンを操作している人がいます。
ノートＰＣを両手で操っている人がいます。	ノートパソコンのキーボードを操作しています。
大勢の人の中に赤い髪と赤い洋服に黒い傘をさした男性がいます。	人の列の中で赤い髪の毛に赤いトップスを着た人が黒い傘をさしています。
薄紫色の前掛けカバンの少女がベンチに座っています。	カバンをさげた少女がベンチに座っています。
水の入った容器に白い花が生けてあります。	透明な花瓶に白い花が活けられています。
スーツを着た男性が歩きながら電話しています。	スーツ姿の男性が歩きながら電話をしています。
テーブルに料理が並べられています。	机の上においしそうな料理が置かれています。
テーブルの上のノートパソコンの前に男性が座っています。	テーブルの上のノートパソコンの前に男性が座っています。
天井からハシゴがぶら下がっています。	室内の天井からハシゴが垂れ下がっています。
橋の上の線路を黄色い電車が走っているところです。	水辺付近の線路を黄色の電車が走っています。
林の中で男性が赤いフリスビーを持っています。	森の中で、男性がフリスビーをしています。
男性がリモコンを持って立っています。	男性が両手にゲームのリモコンを持って立っています。
カイトサーフィンで宙に飛び上がっています。	カイトサーフィンをしている人が、空中に飛び上がっています。
テーブルの上に３つのマウスが置かれています。	テーブルの上に3つのマウスが置かれています。
黄色い花が咲いている草原に牛が3頭います。	黄色い花が咲いている草原を三頭の牛が歩いています。
草原の中を、黒い一頭のクマが歩いています。	一頭のクマが、草原の中を歩いています。
子供がテレビゲームで遊んでいます。	男の子がテレビの前に座ってゲームをしています。
海の上をオレンジ色のボートが走っています。	オレンジ色の船が海の中を進んでいるところです。
白と黒の模様の２頭の牛が草原にいます。	草原に白と黒の斑の牛が２頭います。
黒い猫が、白い便器の上に乗っています。	黒い猫が、便器のふたの上に座っています。
鼻のながい犬がサンタクロースの帽子をかぶっています。	イヌがサンタ帽子をかぶっています。
線路の上を蒸気機関車が走っています。	蒸気機関車が、線路の上を走ってます。
水色の壁の洗面台の大きな鏡の横にタオルが掛かっています。	水色の壁の洗面台の大きな鏡の横にタオルが掛かっています。
おりの中には親キリンと子供のキリンがいます。	檻の中に大きいキリンと小さいキリンがいます。
柵の向こう側にキリンの親子がいます。	檻の中に親子のキリンが立っています。
ソファやテーブルがあるリビングルームです。	室内にテーブルやソファーが設置されています。
コートでテニスの試合が行われています。	テニスコートで、テニスの試合が行われています。
ラケットとシューズの間にテニスボールがあります。	テニスラケットとシューズの間に、ボールがあります。
オーブンの中に、調理前の食材が入っています。	オーブンの中に、調理前の食材が入っています。
家の前には花が植えられた鉢がたくさん置いてあります。	家の前には花が植えられた鉢が少し置いてあります。。
扉の左側の壁に時計が５つ縦に並んで掛かっています。	扉のそばの壁に五つの掛け時計が掛かっています。
皿の上にハンバーガーとフライドポテトがあります。	ハンバーガーとポテトがお皿に盛り付けられています。
髭面の男性が人差し指を立てています。	口ひげを生やした男性が人差し指を立てています。
部屋の中に沢山の熊のぬいぐるみが置かれています。	部屋の中にたくさんの熊のぬいぐるみが飾られています。
おむつをした赤ちゃんが便座の上に立っています。	オムツをした赤ちゃんが便座の上に立っています。
子供がテニスボールとラケットを持っています。	小さな子どもが両手にテニスボールとラケットを持っています。
子供が、テニスラケットとボールを持っています。	小さな子どもが両手にテニスボールとラケットを持っています。
二人のスキーヤーが雪の上に立っています。	雪の上でスキーを履いた人が二人います。
沢山の船が係留してある港の風景です。	たくさんの船が並んで停っています。
バットを手にした少年が椅子に座っています。	バットを持った男の子が椅子に座っています。
サーフボードを手にした男性と水着の女性がいます。	サーフボードを持っている男性と水着を着ている女性が海岸にいます。
未舗装の茶色い道の脇をたくさんの牛が行進しています。	土の道路脇の草原の中を、角を生やした沢山の牛達が歩いています。
ふたの開いた白い洋式便器があります。	蓋の開いている白い水洗トイレです。
扉が銀色の大型冷蔵庫が置かれています。	銀色の大きな冷蔵庫が一台あります。
牧草地でたくさんの牛が放牧されています。	広大な牧場で放牧中の大勢の牛たちがいる。
キリンが長い首を伸ばし植物に口を近づけています。	キリンが緑色の葉っぱに植物に口を近づけています。
滑走路に小型ジェット機があります。	滑走路の上に白いジェット機があります。
女性が両手で道具を持ち口を大きく開けています。	口を大きく開けながら両手で道具を持つ女性。
椅子の上に乗せられた花瓶に花がいけてあります。	椅子の上に花がいけられている花瓶が置いてあります。
カラスが石又は切株の様な物の上にとまっています。	岩又は切株の様な物の上に、1羽のカラスがとまっています。
草原で男性が凧揚げをしています。	男性が草原で凧揚げをしています。
広い草原をシマウマの群れが歩いています。	草原で四頭のシマウマが歩いています。
草むらの中を４頭のシマウマが連なって歩いています。	草原を四頭のシマウマが歩いています。
草の上ににんじんが置かれています。	庭先に収穫したニンジンを並べています。
大量のバナナがつみかさねられています。	たくさんのバナナが積み上げられています。
男性と犬が一つのホットドックを両端から食べています。	イヌと人が、一つのホットドッグの両方から噛り付いています。
家を積んだトラックが道路を走っています。	家を積んだトラックが道路を走っています。
レーサーがバイクで道路を走行しています。	レースでオートバイが走っています。
二頭のシマウマが向き合って顔を近づけています。	シマウマが２頭、囲いの中で向き合っています。
男性が浜辺でサーフボードを持っています。	サーフボードを持った男性が立っています。
サーフボードを持った男性が立っています。	男性が浜辺に白いサーフボードを持って立っています。
道路を走る車と、その上空を飛ぶ飛行機です。	道路を走っている自動車とその上を飛行機が飛んでいます。
スケートボードを持った人が二人歩いています。	スケボーを持った人たちが歩いているところです。
キリンが一頭、草原を歩いています。	草原を歩いている一頭のキリンがいます。
四角い形の、立ち入りを禁ずる看板です。	進入禁止の四角い交通標識があります。
都会の街を多くの人が歩いています。	街の中は大勢の人たちであふれかえっています。
草原で放牧された羊達が草を食べています。	広々とした草原にで羊達が草を食べています。
厨房の中に３人の人物が立っています。	厨房の中で3人の人物が立っています。
駐車場に黄色のバスが二台停まっています。	駐車場には二台の黄色いバスが停まっています。
ノートパソコンのうえにねこがのっています。	ノートパソコンの上に、ネコがのっています。
白く飾りのあるテーブルの上の、大きな透明の花瓶にいくつものひまわりが飾られています。	テーブルの上にひまわりで飾られた花瓶が置いてあります。
野球選手がバットをスイングしています。	バッターボックスでバッターがスイングをしています。
雪上にスキー板を履いて立っている人がいます。	雪上にスキー板を履いた人が立っています。
二頭のシマウマが顔をくっつけている。	シマウマが２頭、顔をこすり合わせて立っています。
ベンチの上に何かが入った紙袋が置いてあります。	木製の大型ベンチの上に、紙袋が置かれています。
赤い帽子をかぶった女性がチョコレートケーキにフォークを刺しています	帽子をかぶった女性がケーキにフォークを刺しています。
海上でカイトサーフィンをやっている人たちです。	海上でカイトサーフィンをしている人がたくさんいます。
